MRGID,ELEVCLASSMIN,ELEVCLASSMAX,deepsea_area,deepsea_area_km2,eez_v11_GEONAME,eez_v11_MRGID_TER1,eez_v11_POL_TYPE,eez_v11_MRGID_SOV1,eez_v11_TERRITORY1,eez_v11_ISO_TER1,eez_v11_SOVEREIGN1,eez_v11_MRGID_TER2,eez_v11_MRGID_SOV2,eez_v11_TERRITORY2,eez_v11_ISO_TER2,eez_v11_SOVEREIGN2,eez_v11_MRGID_TER3,eez_v11_MRGID_SOV3,eez_v11_TERRITORY3,eez_v11_ISO_TER3,eez_v11_SOVEREIGN3,eez_v11_X_1,eez_v11_Y_1,eez_v11_MRGID_EEZ,eez_v11_AREA_KM2,eez_v11_ISO_SOV1,eez_v11_ISO_SOV2,eez_v11_ISO_SOV3,eez_v11_UN_SOV1,eez_v11_UN_SOV2,eez_v11_UN_SOV3,eez_v11_UN_TER1,eez_v11_UN_TER2,eez_v11_UN_TER3
"8308",0.5,1.5,467194191509.493,"467194",Cocos Islands Exclusive Economic Zone,8589,200NM,2147,Cocos Islands,CCK,Australia,0,0,,,,0,0,,,,96.85434,-12.03146,8308,467440,AUS,,,"36",,,"166",,
"8309",0.5,1.5,327946005772.448,"327946",Christmas Island Exclusive Economic Zone,8590,200NM,2147,Christmas Island,CXR,Australia,0,0,,,,0,0,,,,105.36523,-11.24358,8309,327994,AUS,,,"36",,,"162",,
"8310",0.5,1.5,427606267009.713,"427606",Norfolk Island Exclusive Economic Zone,8591,200NM,2147,Norfolk Island,NFK,Australia,0,0,,,,0,0,,,,167.92898,-29.09314,8310,430600,AUS,,,"36",,,"574",,
"8311",0.5,1.5,475249549879.668,"475250",Australian Exclusive Economic Zone (Macquarie Island),8592,200NM,2147,Macquarie Island,,Australia,0,0,,,,0,0,,,,158.64987,-54.87818,8311,475647,AUS,,,"36",,,,,
"8312",0.5,1.5,1128884113679.24,"1128884",New Caledonian Exclusive Economic Zone,2261,200NM,17,New Caledonia,NCL,France,0,0,,,,0,0,,,,163.20377,-21.01871,8312,1175971,FRA,,,"250",,,"540",,
"8313",0.5,1.5,615238087155.739,"615238",Vanuatu Exclusive Economic Zone,2202,200NM,2202,Vanuatu,VUT,Vanuatu,0,0,,,,0,0,,,,168.56883,-16.59488,8313,623424,VUT,,,"548",,,"548",,
"8314",0.5,1.5,1574562169605.8,"1574562",Solomon Islands Exclusive Economic Zone,8593,200NM,8593,Solomon Islands,SLB,Solomon Islands,0,0,,,,0,0,,,,163.68850,-10.05068,8314,1605325,SLB,,,"90",,,"90",,
"8315",0.5,1.5,611623361814.857,"611623",Palau Exclusive Economic Zone,8594,200NM,8594,Palau,PLW,Palau,0,0,,,,0,0,,,,133.06710,6.44073,8315,614807,PLW,,,"585",,,"585",,
"8316",0.5,1.5,2989450572094.45,"2989451",Micronesian Exclusive Economic Zone,8595,200NM,8595,Micronesia,FSM,Micronesia,0,0,,,,0,0,,,,150.32203,6.76930,8316,3010644,FSM,,,"583","0","0","583","0","0"
"8317",0.5,1.5,309220744224.826,"309221",Nauruan Exclusive Economic Zone,8596,200NM,8596,Nauru,NRU,Nauru,0,0,,,,0,0,,,,166.12396,-0.59113,8317,309261,NRU,,,"520",,,"520",,
"8318",0.5,1.5,1984462580269.32,"1984463",Marshall Islands Exclusive Economic Zone,2226,200NM,2226,Marshall Islands,MHL,Marshall Islands,0,0,,,,0,0,,,,167.48735,10.15204,8318,2001566,MHL,,,"584",,,"584",,
"8319",0.5,1.5,407041188997.716,"407041",Wake Island Exclusive Economic Zone,8597,200NM,2204,Wake Island,UMI,United States,0,0,,,,0,0,,,,166.53046,19.50326,8319,406970,USA,,,"840",,,"581",,
"8321",0.5,1.5,277406922569.864,"277407",Taiwanese Exclusive Economic Zone,2177,200NM,2177,Taiwan,TWN,Taiwan,0,0,,,,0,0,,,,118.71458,21.42076,8321,355433,TWN,,,"158","0","0","158","0","0"
